,LocalGov,StatDiv,ClaimNb,AccNb,KillInjNb,Pop,PopDens,A_plus_B
91,Nundle,D7,10,69,31,3950,8.30E-05,41
92,Parry,D7,77,358,271,33800,0.000258,348
93,Quirindi,D7,43,171,112,16600,0.000181,155
94,Severn,D7,21,249,163,9300,5.60E-05,184
95,Tamworth,D7,382,755,463,100400,0.018097,845
96,Tenterfield,D7,64,365,262,19750,9.20E-05,326
97,Uralla,D7,61,173,125,16750,0.000174,186
98,Walcha,D7,42,169,133,10750,5.70E-05,175
99,Yallaroi,D7,9,89,65,11600,7.20E-05,74
100,Bogan,D9,56,112,112,10950,2.50E-05,168
101,Bourke,D9,44,131,127,13000,1.00E-05,171
102,Brewarrina,D9,26,71,74,7250,1.30E-05,100
103,Cobar,D9,41,150,113,17050,1.20E-05,154
104,Coolah,D9,44,196,119,12900,9.00E-05,163
105,Coonabarabran,D9,91,297,236,21750,9.70E-05,327
106,Coonamble,D9,40,139,109,17450,5.50E-05,149
107,Dubbo,D9,509,971,741,91650,0.00099,1250
108,Gilgandra,D9,47,140,109,14700,0.000114,156
109,Mudgee,D9,143,474,343,44550,0.000268,486
110,Narromine,D9,59,160,127,19750,0.000125,186
111,Walgett,D8,70,214,177,22350,3.30E-05,247
112,Warren,D9,19,72,64,11300,3.50E-05,83
113,Wellington,D8,153,303,255,26900,0.000217,408
114,Bathurst,D9,483,753,507,74550,0.010382,990
115,Bland,D9,107,250,255,23250,9.10E-05,362
116,Blayney,D9,93,200,171,18250,0.000397,264
117,Cabonne,D9,135,506,428,38400,0.000213,563
118,Cowra,D9,122,392,282,35200,0.000419,404
119,Evans,D9,62,307,265,13700,0.000106,327
120,Forbes,D9,150,205,188,33000,0.000233,338
121,Greaterlithgow,D9,370,930,696,60750,0.00058,1066
122,Lachlan,D9,48,166,128,25000,5.60E-05,176
123,Oberon,D9,73,199,142,11500,0.000132,215
124,Orange,D9,656,877,577,96350,0.011212,1233
125,Parkes,D9,172,314,274,43250,0.000243,446
126,Rylstone,D9,54,207,139,12000,0.000105,193
127,Weddin,D9,34,142,111,12650,0.000124,145
128,Begavalley,D10,143,636,429,67650,0.000359,572
129,Bombala,D10,26,117,97,9500,8.00E-05,123
130,Boorowa,D10,22,118,83,7700,1.00E-04,105
131,Cooma-monaro,D10,116,339,225,28100,0.00019,341
132,Crookwell,D10,70,130,91,13450,0.000124,161
133,Eurobodalla,D10,243,856,557,60600,0.00059,800
134,Goulburn,D10,462,616,453,65500,0.040136,915
135,Gunning,D10,49,425,304,6150,9.20E-05,353
136,Marden,D10,69,232,154,12350,0.00022,223
137,Mulwaree,D10,157,491,403,14500,9.40E-05,560
138,Queanbeyan,D10,215,655,428,66400,0.062969,643
139,Snowyriver,D10,128,465,310,15650,8.60E-05,438
140,Tallaganda,D10,46,238,150,7250,7.30E-05,196
141,Yarrowlumla,D10,45,377,284,18200,0.000203,329
142,Yass,D10,190,582,449,24100,0.000244,639
143,Young,D10,90,233,130,32800,0.000408,220
144,Carrathool,D11,46,141,117,10200,1.80E-05,163
145,Coolamon,D11,37,116,90,12200,0.000166,127
146,Cootamundra,D11,91,231,200,24600,0.000545,291
147,Griffith,D11,519,514,401,64000,0.001306,920
148,Gundagai,D11,111,267,227,12200,0.000166,338
149,Hay,D11,44,114,89,11750,3.40E-05,133
150,Junee,D11,21,119,92,16300,0.00027,113
151,Leeton,D11,102,255,195,33750,0.000953,297
152,Lockhart,D11,25,101,71,11250,0.000129,96
153,Murrumbidgee,D11,32,85,71,7200,6.90E-05,103
154,Narrandera,D11,95,201,171,22300,0.000179,266
155,Temora,D11,64,138,108,19550,0.000232,172
156,Tumut,D11,113,353,232,35950,0.000314,345
157,Waggawagga,D11,617,1456,962,149500,0.00103,1579
158,Albury,D12,511,1390,978,116450,0.036569,1489
159,Balranald,D12,46,96,102,8800,1.40E-05,148
160,Berrigan,D12,65,123,127,23100,0.000373,192
161,Cohargo,D12,0,22,17,5400,4.90E-05,17
162,Corona,D12,34,130,101,21000,0.000324,135
163,Culcairn,D12,24,109,78,13250,0.000276,102
164,Deniliquin,D12,71,185,133,23850,0.005383,204
165,Holbrook,D12,97,149,165,7750,1.00E-04,262
166,Hume,D12,30,181,152,16450,0.000285,182
167,Jerilderie,D12,11,52,36,6750,6.60E-05,47
168,Murray,D12,17,96,82,13050,1.00E-04,99
169,Tumbarumba,D12,35,112,92,12050,9.30E-05,127
170,Urana,D12,15,63,69,5350,5.30E-05,84
171,Wakool,D12,24,130,150,14650,6.50E-05,174
172,Wentworth,D12,35,174,153,21950,2.80E-05,188
173,Windouran,D12,0,17,11,1450,1.00E-05,11
174,Brokenhill,D13,912,540,505,77400,0.038558,1417
175,Centraldarling,D13,75,130,160,9550,6.00E-06,235
176,Unincorporatedarea,D13,5,110,122,3650,1.00E-06,127
