housing_median_age,total_rooms,median_income,total_bedrooms,Make,population,households,GenderMainOwner,median_house_value,Exposure ,Indicator
51,1637,463,1543,VAUXHALL,393,2.489,Female,119100,1,1
52,1420,314,1085,FORD,300,1.7546,Female,80600,1,1
52,591,173,353,HYUNDAI,137,4.0904,Male,80600,1,1
52,745,153,473,NISSAN,149,2.6765,Male,88800,1,1
49,2272,498,1621,ROVER,483,2.4338,Male,102400,1,1
46,1234,375,1183,FIAT,354,2.3309,Male,98700,1,1
43,1017,328,836,FORD,277,2.2604,Female,100000,1,1
42,932,254,900,HYUNDAI,263,1.8039,Female,92300,1,1
39,2689,597,1888,ROVER,537,2.2562,Female,94800,1,1
41,1547,415,1024,FORD,341,2.0562,Male,102000,1,1
52,2300,443,1225,HONDA,423,3.5398,Male,158400,1,1
39,1752,399,1071,PROTON,376,3.1167,Female,121600,1,1
50,1867,403,1128,VOLKSWAGEN,378,2.5401,Male,129100,1,1
43,2430,502,1537,FORD,484,2.898,Male,121400,1,1
44,1729,414,1240,MAZDA,393,2.3125,Female,102800,1,1
52,1026,180,469,FORD,168,2.875,Male,160000,1,1
52,2170,428,1086,HYUNDAI,425,3.3715,Female,143900,1,1
52,2329,445,1144,PROTON,417,3.5114,Female,151200,1,1
52,2492,415,1109,Unknown,375,4.3125,Male,164400,1,1
52,2198,397,984,NISSAN,369,3.22,Female,156500,1,1
33,142,31,575,SAAB,47,3.875,Female,225000,1,0
49,1183,205,496,FIAT,209,5.2328,Female,174200,1,1
52,1070,193,555,MAZDA,190,3.7262,Female,166900,1,1
45,1766,332,869,PEUGEOT,327,4.5893,Female,163500,1,1
39,617,95,236,DAEWOO,106,5.2578,Male,253000,1,0
41,1411,233,626,VOLVO,214,7.0875,Female,240700,1,0
46,2109,387,922,VAUXHALL,329,3.9712,Male,208100,1,0
47,1229,243,582,MAZDA,256,2.9514,Female,198100,1,0
50,954,217,546,Unknown,201,2.6667,Female,172800,1,1
37,1643,262,620,OTHER,266,5.4446,Male,336700,1,0
34,1355,195,442,BMW,195,6.2838,Female,318200,1,0
23,2317,336,955,Unknown,328,6.7527,Female,285800,1,0
24,2459,317,916,VAUXHALL,324,7.0712,Male,293000,1,0
22,12842,2048,4985,Unknown,1967,5.9849,Female,371000,1,0
42,1524,260,651,VOLKSWAGEN,267,3.6875,Female,157300,1,1
30,3326,746,1704,Unknown,703,2.875,Male,135300,1,1
43,1985,440,1085,VOLVO,407,3.4205,Female,136700,1,1
50,1642,322,713,FORD,284,3.2984,Male,160700,1,1
49,893,177,468,BMW,181,3.875,Male,140600,1,1
52,653,128,296,FORD,121,4.175,Male,144000,1,1
47,1256,217,570,Unknown,218,4.375,Female,161900,1,1
48,977,194,446,FORD,180,4.7708,Female,156300,1,1
45,2324,397,968,PORSCHE,384,3.5739,Male,176000,1,1
39,1583,349,857,RENAULT,316,3.0958,Male,145800,1,1
39,1612,342,912,FORD,322,3.3958,Male,141900,1,1
31,2424,533,1360,ROVER,452,1.871,Male,90700,1,1
41,1594,367,1074,ALFA ROMEO,355,1.9356,Male,90600,1,1
47,2118,413,965,FORD,382,2.1842,Male,107900,1,1
37,1575,358,933,NISSAN,320,2.2917,Female,107000,1,1
38,1764,397,987,SAAB,354,2.4333,Male,98200,1,1
50,1187,261,907,AUSTIN,246,1.9479,Male,89500,1,1
52,754,175,447,NISSAN,165,3.9063,Female,93800,1,1
49,2308,452,1299,VAUXHALL,451,1.8407,Male,96700,1,1
27,909,236,396,BMW,157,2.0786,Male,97500,1,1
42,1180,257,877,OTHER,268,2.8125,Female,97300,1,1
43,2018,408,1111,TOYOTA,367,1.8913,Female,91200,1,1
49,1368,282,790,VAUXHALL,269,1.7056,Male,91400,1,1
52,2744,547,1479,FORD,554,2.2768,Male,96200,1,1
51,2107,471,1173,ROVER,438,3.2552,Male,120100,1,1
52,1748,362,1029,FORD,366,2.0556,Female,100000,1,1
52,2024,391,1030,ROVER,350,2.4659,Male,94700,1,1
47,1116,259,826,CITROEN,279,1.75,Male,85700,1,1
41,2036,510,1412,HYUNDAI,454,2.0469,Male,89300,1,1
45,1852,393,1132,LANDROVER,349,2.7159,Male,101400,1,1
41,921,207,522,ROVER,159,1.2083,Male,72500,1,1
45,995,238,630,VAUXHALL,237,1.925,Female,74100,1,1
36,606,132,531,HYUNDAI,133,1.5809,Male,70000,1,1
37,2680,736,1925,RENAULT,667,1.4097,Female,84600,1,1
38,1493,370,1144,VOLVO,351,0.7683,Male,81800,1,1
19,2207,565,1481,HYUNDAI,520,1.3194,Female,81400,1,1
28,856,189,435,BMW,162,0.8012,Male,81800,1,1
26,1293,297,984,FORD,303,1.9479,Male,85800,1,1
36,847,212,567,MERCEDES,159,1.1765,Male,87100,1,1
42,541,154,380,BMW,123,2.3456,Male,83500,1,1
44,1066,253,825,LANDROVER,244,2.1538,Male,79700,1,1
43,707,147,417,TOYOTA,155,2.5139,Female,83400,1,1
45,1528,291,801,BMW,287,1.2625,Female,84700,1,1
42,909,215,646,HONDA,198,2.9063,Male,80000,1,1
43,1391,293,855,HYUNDAI,285,2.5192,Female,76400,1,1
44,548,119,435,BMW,136,2.1111,Male,79700,1,1
42,4074,874,2736,HONDA,780,2.455,Male,82400,1,1
41,1613,445,1481,VAUXHALL,414,2.4028,Female,97700,1,1
47,463,134,327,Unknown,137,2.15,Male,97200,1,1
43,818,193,494,LANDROVER,179,2.4776,Female,101600,1,1
43,1473,371,1231,VAUXHALL,341,2.1587,Female,86500,1,1
35,504,126,323,DAEWOO,109,1.8438,Female,90500,1,1
46,1026,226,749,LANDROVER,225,3.0298,Male,107600,1,1
46,769,183,693,FIAT,178,2.25,Female,84200,1,1
46,2103,391,1339,MG,354,2.2467,Female,88900,1,1
45,330,76,282,MAZDA,80,4.0469,Male,80700,1,1
46,941,218,621,HYUNDAI,195,1.325,Male,87100,1,1
38,992,279,732,FORD,259,1.6196,Male,85100,1,1
45,990,261,901,RENAULT,260,2.1731,Male,82000,1,1
36,1126,263,482,HONDA,150,1.9167,Female,82800,1,1
43,1036,233,652,SUBARU,213,2.069,Male,84600,1,1
36,1047,214,651,FORD,166,1.712,Male,82100,1,1
33,1280,307,999,PROTON,286,2.5625,Female,89300,1,1
43,1587,320,907,MERCEDES,306,1.9821,Male,98300,1,1
41,1257,271,828,HONDA,230,2.5043,Female,92300,1,1
44,1218,248,763,PEUGEOT,254,2.3281,Female,88800,1,1
48,1751,390,935,VOLVO,349,1.4375,Male,90000,1,1
45,2299,514,1437,PROTON,484,2.5122,Female,95500,1,1
38,2457,624,1516,VOLKSWAGEN,482,1.5625,Female,91700,1,1
47,998,211,597,VOLVO,185,3.1587,Female,100400,1,1
40,1685,343,949,CITROEN,342,1.8426,Male,94800,1,1
46,1827,307,881,VAUXHALL,302,4.6696,Male,164300,1,1
36,2781,574,1438,FORD,519,2.4598,Male,155500,1,1
39,1823,286,763,SKODA,270,6.0749,Female,196900,1,0
27,2229,365,1297,FORD,355,4.8304,Female,279100,1,0
34,1513,231,545,CITROEN,211,5.5701,Male,252800,1,0
26,3266,491,1222,HYUNDAI,533,5.37,Male,275400,1,0
33,1809,261,808,DAEWOO,219,6.86,Male,250000,1,0
28,794,111,329,FORD,109,7.6923,Female,329800,1,0
36,690,105,299,HYUNDAI,109,4.0313,Male,195500,1,0
33,1334,200,579,RENAULT,202,6.8323,Male,255900,1,0
30,414,54,137,ROVER,50,4.975,Female,311100,1,0
36,768,93,229,FIAT,93,5.3602,Male,330000,1,0
41,4400,666,1476,FORD,648,5,Male,248900,1,0
46,954,161,429,FORD,154,2.925,Female,142900,1,1
40,1445,256,849,NISSAN,255,3.8913,Male,126300,1,1
44,1938,399,946,VOLKSWAGEN,331,3.225,Female,135800,1,1
41,856,178,571,VOLVO,191,3.1458,Male,130600,1,1
24,1790,454,1137,FIAT,386,2.537,Female,107900,1,1
44,617,131,378,FORD,135,2.5568,Male,111100,1,1
43,1383,275,853,HONDA,272,3.5083,Male,122000,1,1
49,1325,277,764,NISSAN,282,3.3125,Male,118000,1,1
40,1227,294,928,VOLVO,261,1.8235,Female,95200,1,1
35,667,140,406,FORD,133,3.8047,Male,94300,1,1
34,1223,281,824,NISSAN,280,2.2917,Male,92500,1,1
37,1379,287,835,VOLVO,259,2.4962,Female,91800,1,1
43,1534,300,826,VOLVO,295,4.0417,Male,109400,1,1
46,1029,181,567,FORD,211,3.4844,Male,129500,1,1
52,771,147,355,HONDA,144,4.1458,Male,143400,1,1
47,824,223,533,ROVER,166,2.625,Male,98200,1,1
44,1097,239,609,FORD,215,2.0227,Female,103100,1,1
49,1283,238,576,PEUGEOT,236,3.3333,Male,276800,1,0
52,1604,263,594,FORD,286,5.338,Female,270900,1,0
52,2248,422,870,Unknown,377,3.4732,Male,246200,1,0
38,2263,522,1027,FIAT,509,3.5125,Male,224200,1,0
52,1571,349,693,FORD,326,3.1375,Male,229100,1,0
46,1520,402,815,FORD,375,2.8036,Female,211600,1,0
15,5083,1212,2420,HONDA,1146,4.5824,Female,256100,1,0
36,1077,293,518,MAZDA,276,3.0208,Male,206300,1,0
52,1248,283,620,PEUGEOT,275,4.0875,Female,221300,1,0
42,1342,291,551,SUBARU,266,4.5268,Female,207400,1,0
37,3061,930,2556,BMW,924,1.7375,Male,350000,1,0
52,3171,698,1498,FIAT,696,3.1795,Male,218200,1,0
50,1211,261,523,FORD,227,3.8672,Female,216700,1,0
52,979,175,374,HYUNDAI,153,5.1675,Female,270600,1,0
52,2269,380,1004,MAZDA,371,5.1696,Male,261400,1,0
52,1844,332,769,PEUGEOT,334,4.2614,Female,261300,1,0
52,2178,421,940,ROVER,423,5.0551,Female,232200,1,0
42,1650,274,645,ALFA ROMEO,256,5.6228,Female,375400,1,0
52,1927,279,705,FIAT,288,7.8864,Female,357300,1,0
52,2079,273,684,FORD,275,7.9556,Female,374400,1,0
52,1803,240,572,MERCEDES,236,6.174,Female,358800,1,0
52,2041,270,671,NISSAN,253,6.9414,Male,417500,1,0
52,3046,373,975,PROTON,365,8.8342,Female,430500,1,0
52,2318,328,779,VAUXHALL,312,7.1754,Male,362900,1,0
52,2003,250,658,VAUXHALL,244,10.0825,Female,397000,1,0
52,2261,328,819,AUDI,335,4.9083,Female,346800,1,0
52,1225,169,412,FORD,168,5.7912,Male,327100,1,0
52,2315,408,835,HONDA,369,4.5893,Male,290100,1,0
52,2070,329,722,HYUNDAI,306,5.4171,Female,292000,1,0
52,2616,473,1085,LANDROVER,487,4.125,Male,270900,1,0
52,2640,366,973,PEUGEOT,355,7.266,Male,371100,1,0
52,1978,293,723,PROTON,272,5.3989,Male,335600,1,0
37,2220,335,903,ROVER,362,7.8336,Male,371300,1,0
41,1125,195,356,BMW,181,6.1593,Female,344000,1,0
52,3078,494,1005,FORD,462,6.381,Male,342200,1,0
52,3706,531,1205,MAZDA,504,6.6828,Male,370900,1,0
37,3000,457,987,PEUGEOT,450,7.5385,Male,350000,1,0
42,2863,460,1031,BMW,448,6.7138,Male,368600,1,0
52,2551,417,894,FORD,404,6.2425,Male,391800,1,0
52,2255,410,823,PROTON,377,5.7979,Male,415300,1,0
52,3360,648,1232,FORD,621,4.2813,Female,284900,1,0
52,1693,391,669,FORD,367,3.5417,Female,287500,1,0
44,2252,592,989,NISSAN,550,3.0132,Female,272900,1,0
52,2495,491,1058,VOLVO,464,4.1429,Female,259600,1,0
52,1193,200,506,SKODA,207,4.1912,Male,254500,1,0
52,1172,215,489,VOLVO,218,3.9167,Female,235600,1,0
52,2159,424,824,VOLVO,388,3.8897,Male,218400,1,0
48,2365,490,1034,FORD,475,3.1065,Female,229200,1,0
46,1895,442,920,SUZUKI,425,2.9926,Female,192100,1,0
52,1650,395,841,FIAT,380,3.556,Female,179300,1,1
45,453,146,749,FORD,137,1.475,Female,187500,1,0
52,409,97,208,TOYOTA,98,1.6971,Male,138800,1,1
